Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Formal Verification of&#xa0;a&#xa0;Neural Network Based Prognostics System for&#xa0;Aircraft Equipment,Bridging the Gap Between AI and Reality,,,,10.1007/978-3-031-46002-9_13,Dmitrii KirovSimone Fulvio RolliniLuigi Di GuglielmoDarren Cofer,2024,https://link.springer.com/chapter/10.1007/978-3-031-46002-9_13,Conference paper
Automated system-level testing of unmanned aerial systems,Automated Software Engineering,,,,10.1007/s10515-024-00462-9,Hassan SartajAsmar MuqeetMuhammad Zohaib IqbalMuhammad Uzair Khan,2024,https://link.springer.com/article/10.1007/s10515-024-00462-9,Article
Certification of avionic software based on machine learning: the case for formal monotony analysis,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-024-00741-6,Mélanie DucoffeChristophe GabreauIleana OberIulian OberEric Guillaume Vidot,2024,https://link.springer.com/article/10.1007/s10009-024-00741-6,Article
Requirements-Driven Model Checking and&#xa0;Test Generation for&#xa0;Comprehensive Verification,NASA Formal Methods,,,,10.1007/978-3-031-06773-0_31,Devesh BhattHao RenAnitha MurugesanJason BiatekSrivatsan VaradarajanNatarajan Shankar,2022,https://link.springer.com/chapter/10.1007/978-3-031-06773-0_31,Conference paper
Monitoring with verified guarantees,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-023-00712-3,Jan BaumeisterJohann C. DauerBernd FinkbeinerSebastian Schirmer,2023,https://link.springer.com/article/10.1007/s10009-023-00712-3,Article
Two-Way Collaboration Between Flow and&#xa0;Proof in&#xa0;SPARK,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-031-82700-6_8,Claire DrossJoffrey HuguetJohannes Kanig,2025,https://link.springer.com/chapter/10.1007/978-3-031-82700-6_8,Conference paper
Dependency Graphs to&#xa0;Boost the&#xa0;Verification of&#xa0;SysML Models,Model-Driven Engineering and Software Development,,,,10.1007/978-3-031-38821-7_6,Ludovic ApvrillePierre de Saqui-SannesOana HotescuAlessandro Tempia Calvino,2023,https://link.springer.com/chapter/10.1007/978-3-031-38821-7_6,Conference paper
Capturing System Designs with Formal Executable Specifications,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-031-90900-9_1,José Meseguer,2025,https://link.springer.com/chapter/10.1007/978-3-031-90900-9_1,Conference paper
FLARE — Monitoring for&#xa0;the&#xa0;Regulatory Requirements of&#xa0;a&#xa0;Drone Case Study,"Dependable Software Engineering. Theories, Tools, and Applications",,,,10.1007/978-981-95-7826-9_11,Sean FenechChristian ColomboGordon PaceAxel Curmi,2026,https://link.springer.com/chapter/10.1007/978-981-95-7826-9_11,Conference paper
Formal Model Engineering of&#xa0;Distributed CPSs Using AADL: From Behavioral AADL Models to&#xa0;Multirate Hybrid Synchronous AADL,Formal Aspects of Component Software,,,,10.1007/978-3-031-52183-6_7,Kyungmin BaePeter Csaba Ölveczky,2024,https://link.springer.com/chapter/10.1007/978-3-031-52183-6_7,Conference paper
Intelligent automated code review and software quality evaluation: a survey of AutoML and large language model techniques,Automated Software Engineering,,,,10.1007/s10515-026-00668-z,Rohan Appasaheb BorgalliUma RajShwetha Shetty,2026,https://link.springer.com/article/10.1007/s10515-026-00668-z,Article
Abstract Interpretation in Industry – Experience and Lessons Learned,Static Analysis,,,,10.1007/978-3-031-44245-2_2,Daniel KästnerReinhard WilhelmChristian Ferdinand,2023,https://link.springer.com/chapter/10.1007/978-3-031-44245-2_2,Conference paper
The digest framework: concurrency-sensitivity for abstract interpretation,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-024-00773-y,Michael SchwarzJulian Erhard,2024,https://link.springer.com/article/10.1007/s10009-024-00773-y,Article
SafeFloatZone: Identify Safe Domains for&#xa0;Elementary Functions,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-78377-7_9,Markus KrahlMatthias GüdemannStefan Wallentowitz,2025,https://link.springer.com/chapter/10.1007/978-3-031-78377-7_9,Conference paper
A manifesto for applicable formal methods,Software and Systems Modeling,,,,10.1007/s10270-023-01124-2,Mario GleirscherJaco van de PolJim Woodcock,2023,https://link.springer.com/article/10.1007/s10270-023-01124-2,Article
Teaching an Advanced Maude-Based Formal Methods Course in Oslo,Rewriting Logic and Its Applications,,,,10.1007/978-3-031-65941-6_11,Peter Csaba Ölveczky,2024,https://link.springer.com/chapter/10.1007/978-3-031-65941-6_11,Conference paper
Generative AI in&#xa0;Simulation-Based Test Environments for&#xa0;Large-Scale Cyber-Physical Systems: An Industrial Study,Product-Focused Software Process Improvement,,,,10.1007/978-3-032-12089-2_13,Masoud SadrnezhaadJosé Antonio Hernández LópezTorvald MårtenssonDániel Varró,2026,https://link.springer.com/chapter/10.1007/978-3-032-12089-2_13,Conference paper
Challenges Engaging Formal CBSE in&#xa0;Industrial Applications,Formal Aspects of Component Software,,,,10.1007/978-3-031-52183-6_8,Yi LiMeng Sun,2024,https://link.springer.com/chapter/10.1007/978-3-031-52183-6_8,Conference paper
Auto-Generating Visual Editors for&#xa0;Formal Logics with&#xa0;Blockly,Integrated Formal Methods,,,,10.1007/978-3-032-10794-7_22,Angelo FerrandoPeng LuVadim Malvone,2026,https://link.springer.com/chapter/10.1007/978-3-032-10794-7_22,Conference paper
Formal methods and tools for industrial critical systems,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-022-00687-7,Alberto Lluch LafuenteAnastasia Mavridou,2022,https://link.springer.com/article/10.1007/s10009-022-00687-7,Article
Compressing ACAS-Xu Lookup Tables with&#xa0;Binary Decision Diagrams,NASA Formal Methods,,,,10.1007/978-3-032-28079-4_24,Martin BoniolJulien BrunelJean-Baptiste ChaudronChristophe GarionXavier Thirioux,2026,https://link.springer.com/chapter/10.1007/978-3-032-28079-4_24,Conference paper
Extending Timed Automata with&#xa0;Clock Derivatives,Integrated Formal Methods,,,,10.1007/978-3-032-10794-7_6,David CortésJean LeneutreVadim MalvoneJames OrtizPierre-Yves Schobbens,2026,https://link.springer.com/chapter/10.1007/978-3-032-10794-7_6,Conference paper
The Rocq-NN-Roll Prover: Soundly Verifying Hyperproperties of Neural Networks in Rocq,Computer Aided Verification,,,,10.1007/978-3-032-32526-6_23,Andrei AleksandrovMalte JackischKim Völlinger,2026,https://link.springer.com/chapter/10.1007/978-3-032-32526-6_23,Conference paper
Synthesizing behavioural models of cyber-physical systems using automata learning and statistical machine learning,Automated Software Engineering,,,,10.1007/s10515-026-00650-9,Negin AyoughiBaharin A. JodatArmina FaghihiPatricio SaavedraShiva NejatiMehrdad Sabetzadeh,2026,https://link.springer.com/article/10.1007/s10515-026-00650-9,Article
Models for formal methods and tools: the case of railway systems,Software and Systems Modeling,,,,10.1007/s10270-025-01276-3,M. H. ter Beek,2025,https://link.springer.com/article/10.1007/s10270-025-01276-3,Article
Formal methods and tools for industrial critical systems,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-022-00660-4,Maurice H. ter BeekKim G. LarsenDejan NičkovićTim A. C. Willemse,2022,https://link.springer.com/article/10.1007/s10009-022-00660-4,Article
Formal verification of neural agents in non-deterministic environments,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-021-09529-3,Michael E. AkintundeElena BotoevaPanagiotis KouvarosAlessio Lomuscio,2021,https://link.springer.com/article/10.1007/s10458-021-09529-3,Article
Model-driven system-level validation and verification on the space software domain,Software and Systems Modeling,,,,10.1007/s10270-021-00940-8,Aarón MontalvoPablo ParraÓscar Rodríguez PoloAlberto CarrascoAntonio Da SilvaAgustín MartínezSebastián Sánchez,2021,https://link.springer.com/article/10.1007/s10270-021-00940-8,Article
From High-Level Types to&#xa0;Low-Level Monitors: Synthesizing Verified Runtime Checkers for&#xa0;MAVLink,NASA Formal Methods,,,,10.1007/978-3-032-28079-4_5,Arthur AmorimPaul GazzilloMax TaylorLance Joneckis,2026,https://link.springer.com/chapter/10.1007/978-3-032-28079-4_5,Conference paper
AGREE-Dog Copilot: A Neuro-Symbolic Approach to&#xa0;Enhanced Model-Based Systems Engineering,Bridging the Gap Between AI and Reality,,,,10.1007/978-3-032-07132-3_8,Amer TahatIsaac AmundsonDavid HardinDarren Cofer,2026,https://link.springer.com/chapter/10.1007/978-3-032-07132-3_8,Conference paper
"Extending FRET with SLEEC Rules: Formalization, Obligation Inference, and Monitoring",Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-032-22749-2_4,Mahrokh MiraniPaola InverardiPatrizio PelliccioneFranco RaimondiNicolas Troquard,2026,https://link.springer.com/chapter/10.1007/978-3-032-22749-2_4,Conference paper
Eliminating Flakiness: Deterministic Control for&#xa0;Validating Nondeterministic Asmeta Specifications,NASA Formal Methods,,,,10.1007/978-3-031-93706-4_7,Andrea BombardaSilvia BonfantiAngelo GargantiniNico Pellegrinelli,2025,https://link.springer.com/chapter/10.1007/978-3-031-93706-4_7,Conference paper
A Software Test Maturity Model Customized for Aerospace Industries: A Systematic Literature Review,"Systems, Software and Services Process Improvement",,,,10.1007/978-3-031-71139-8_25,Ayşegül ÖzkurtEbru GökalpAylin Hatip Ipek,2024,https://link.springer.com/chapter/10.1007/978-3-031-71139-8_25,Conference paper
Towards the&#xa0;Strengthening of&#xa0;Capella Modeling Semantics by&#xa0;Integrating Event-B: A Rigorous Model-Based Approach for&#xa0;Safety-Critical Systems,Model and Data Engineering,,,,10.1007/978-3-031-21595-7_9,Khaoula BoubaAbderrahim Ait WakrimeYassine OuhammouRedouane Benaini,2023,https://link.springer.com/chapter/10.1007/978-3-031-21595-7_9,Conference paper
Modeling and formal analysis of virtually synchronous cyber-physical systems in AADL,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-022-00665-z,Jaehun LeeKyungmin BaePeter Csaba ÖlveczkySharon KimMinseok Kang,2022,https://link.springer.com/article/10.1007/s10009-022-00665-z,Article
From Mechanized Semantics to Verified Compilation: the Clight Semantics of CompCert,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-031-57259-3_1,Sandrine Blazy,2024,https://link.springer.com/chapter/10.1007/978-3-031-57259-3_1,Conference paper
Graphics Shader Testing for On-Board Visualization System of Civil Aircraft,Programming and Computer Software,,,,10.1134/S0361768825700100,B. Kh. BarladianA. G. VoloboyL. Z. ShapiroE. Yu. DenisovV. A. Galaktionov,2025,https://link.springer.com/article/10.1134/S0361768825700100,Article
Runtime Monitoring DNN-Based Perception,Runtime Verification,,,,10.1007/978-3-031-44267-4_24,Chih-Hong ChengMichael LuttenbergerRongjie Yan,2023,https://link.springer.com/chapter/10.1007/978-3-031-44267-4_24,Conference paper
Exploring the ERTMS/ETCS full moving block specification: an experience with formal methods,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-022-00653-3,Davide BasileMaurice H. ter BeekAlessio FerrariAxel Legay,2022,https://link.springer.com/article/10.1007/s10009-022-00653-3,Article
Coverage visualization and analysis of net inscriptions in coloured Petri net models,Innovations in Systems and Software Engineering,,,,10.1007/s11334-023-00528-z,Faustin AhishakiyeJosé Ignacio Requeno JaraboLars Michael KristensenVolker Stolz,2023,https://link.springer.com/article/10.1007/s11334-023-00528-z,Article
AIMOS: Metamorphic Testing of&#xa0;AI - An Industrial Application,"Computer Safety, Reliability, and Security. SAFECOMP 2023 Workshops",,,,10.1007/978-3-031-40953-0_27,Augustin LemesleAymeric VarasseZakaria ChihaniDominique Tachet,2023,https://link.springer.com/chapter/10.1007/978-3-031-40953-0_27,Conference paper
TimeLine Depiction: an approach to graphical notation for supporting temporal property specification,Innovations in Systems and Software Engineering,,,,10.1007/s11334-022-00501-2,Chun-Ok SinYong-Sok Kim,2022,https://link.springer.com/article/10.1007/s11334-022-00501-2,Article
DEPS: a model- and property-based language for system synthesis problems,Software and Systems Modeling,,,,10.1007/s10270-023-01129-x,Pierre-Alain YvarsLaurent Zimmer,2023,https://link.springer.com/article/10.1007/s10270-023-01129-x,Article
Fuzzing-based mutation testing of C/C++ software in cyber-physical systems,Empirical Software Engineering,,,,10.1007/s10664-025-10700-7,Jaekwon LeeFabrizio PastoreLionel Briand,2025,https://link.springer.com/article/10.1007/s10664-025-10700-7,Article
Randomized reachability analysis in UPPAAL: fast error detection in timed systems,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-022-00681-z,Andrej KivirigaKim Guldstrand LarsenUlrik Nyman,2022,https://link.springer.com/article/10.1007/s10009-022-00681-z,Article
An Extension of&#xa0;HybridSynchAADL and&#xa0;Its Application to&#xa0;Collaborating Autonomous UAVs,"Leveraging Applications of Formal Methods, Verification and Validation. Adaptation and Learning",,,,10.1007/978-3-031-19759-8_4,Jaehun LeeKyungmin BaePeter Csaba Ölveczky,2022,https://link.springer.com/chapter/10.1007/978-3-031-19759-8_4,Conference paper
Formal Verification of a JavaCard Virtual Machine with Frama-C,Formal Methods,,,,10.1007/978-3-030-90870-6_23,Adel DjoudiMartin HánaNikolai Kosmatov,2021,https://link.springer.com/chapter/10.1007/978-3-030-90870-6_23,Conference paper
Formal Methods and&#xa0;Tools Applied in&#xa0;the&#xa0;Railway Domain,Rigorous State-Based Methods,,,,10.1007/978-3-031-63790-2_1,Maurice H. ter Beek,2024,https://link.springer.com/chapter/10.1007/978-3-031-63790-2_1,Conference paper
Verification and refutation of C programs based on <i>k</i>-induction and invariant inference,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-020-00564-1,Omar M. AlhawiHerbert RochaMikhail R. GadelhaLucas C. CordeiroEddie Batista,2020,https://link.springer.com/article/10.1007/s10009-020-00564-1,Article
"A Streamlined, Formal Approach to&#xa0;Requirements-Based Testing",NASA Formal Methods,,,,10.1007/978-3-031-93706-4_10,Andreas KatisAnastasia MavridouTom Pressburger,2025,https://link.springer.com/chapter/10.1007/978-3-031-93706-4_10,Conference paper
Safe and&#xa0;Secure Future AI-Driven Railway Technologies: Challenges for&#xa0;Formal Methods in&#xa0;Railway,"Leveraging Applications of Formal Methods, Verification and Validation. Practice",,,,10.1007/978-3-031-19762-8_20,Monika SeisenbergerMaurice H. ter BeekXiuyi FanAlessio FerrariAnne E. HaxthausenPhillip JamesAndrew LawrenceBas LuttikJaco van de PolSimon Wimmer,2022,https://link.springer.com/chapter/10.1007/978-3-031-19762-8_20,Conference paper
Level-Up - From Bits to&#xa0;Words,Formal Methods: Foundations and Applications,,,,10.1007/978-3-031-22476-8_8,Matthias GüdemannKlaus Riedl,2022,https://link.springer.com/chapter/10.1007/978-3-031-22476-8_8,Conference paper
Intrepid: A Scriptable and Cloud-Ready SMT-Based Model Checker,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-85248-1_13,Roberto Bruttomesso,2021,https://link.springer.com/chapter/10.1007/978-3-030-85248-1_13,Conference paper
Monitoring with Verified Guarantees,Runtime Verification,,,,10.1007/978-3-030-88494-9_4,Johann C. DauerBernd FinkbeinerSebastian Schirmer,2021,https://link.springer.com/chapter/10.1007/978-3-030-88494-9_4,Conference paper
"TriCo—Triple Co-piloting of&#xa0;Implementation, Specification and&#xa0;Tests","Leveraging Applications of Formal Methods, Verification and Validation. Verification Principles",,,,10.1007/978-3-031-19849-6_11,Wolfgang AhrendtDilian GurovMoa JohanssonPhilipp Rümmer,2022,https://link.springer.com/chapter/10.1007/978-3-031-19849-6_11,Conference paper
Formal Methods for&#xa0;Trusted Space Autonomy: Boon or&#xa0;Bane?,NASA Formal Methods,,,,10.1007/978-3-031-06773-0_1,Steve A. Chien,2022,https://link.springer.com/chapter/10.1007/978-3-031-06773-0_1,Conference paper
Towards a framework for certification of reliable autonomous systems,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-020-09487-2,Michael FisherViviana MascardiKristin Yvonne RozierBernd-Holger SchlingloffMichael WinikoffNeil Yorke-Smith,2020,https://link.springer.com/article/10.1007/s10458-020-09487-2,Article
Verifying the Mathematical Library of an UAV Autopilot with Frama-C,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-85248-1_10,Baptiste PollienChristophe GarionGautier HattenbergerPierre RouxXavier Thirioux,2021,https://link.springer.com/chapter/10.1007/978-3-030-85248-1_10,Conference paper
Teaching Formal Methods to&#xa0;Undergraduate Students Using Maude,Rewriting Logic and Its Applications,,,,10.1007/978-3-031-12441-9_5,Peter Csaba Ölveczky,2022,https://link.springer.com/chapter/10.1007/978-3-031-12441-9_5,Conference paper
An Ontology-Based Approach to Support Formal Verification of Concurrent Systems,Formal Methods. FM 2019 International Workshops,,,,10.1007/978-3-030-54994-7_9,Natalia GaraninaIgor AnureevElena SidorovaDmitry KoznovVladimir ZyubinSergei Gorlatch,2020,https://link.springer.com/chapter/10.1007/978-3-030-54994-7_9,Conference paper
Teaching Formal Methods for Fun Using Maude,Formal Methods – Fun for Everybody,,,,10.1007/978-3-030-71374-4_3,Peter Csaba Ölveczky,2021,https://link.springer.com/chapter/10.1007/978-3-030-71374-4_3,Conference paper
Pragmatic reuse for DSML development,Software and Systems Modeling,,,,10.1007/s10270-020-00831-4,Stefan KlikovitsDidier Buchs,2020,https://link.springer.com/article/10.1007/s10270-020-00831-4,Article
Apply Formal Methods in Certifying the SyberX High-Assurance Kernel,Formal Methods,,,,10.1007/978-3-030-90870-6_46,Wenjing XuYongwang ZhaoChengtao CaoJean Raphael Ngnie SighomLei WangZhe JiangShihong Zou,2021,https://link.springer.com/chapter/10.1007/978-3-030-90870-6_46,Conference paper
Integration of COTS Processing Architectures in Small Satellites for Onboard Computing Using Fault Injection Testing Methodology,Software Engineering and Formal Methods. SEFM 2021 Collocated Workshops,,,,10.1007/978-3-031-12429-7_24,Jose-Carlos Gamazo-RealJuan Rafael Zamorano-FloresÁngel Sanz-Andrés,2022,https://link.springer.com/chapter/10.1007/978-3-031-12429-7_24,Conference paper
Dash: declarative behavioural modelling in Alloy with control state hierarchy,Software and Systems Modeling,,,,10.1007/s10270-022-01012-1,Jose SernaNancy A. DayShahram Esmaeilsabzali,2022,https://link.springer.com/article/10.1007/s10270-022-01012-1,Article
Hybrid SynchAADL: Modeling and Formal Analysis of Virtually Synchronous CPSs in AADL,Computer Aided Verification,,,,10.1007/978-3-030-81685-8_23,Jaehun LeeSharon KimKyungmin BaePeter Csaba Ölveczky,2021,https://link.springer.com/chapter/10.1007/978-3-030-81685-8_23,Conference paper
Formal requirements modeling for cyber-physical systems engineering: an integrated solution based on FORM-L and Modelica,Requirements Engineering,,,,10.1007/s00766-021-00359-z,Daniel BouskelaAlberto FalconeAlfredo GarroAudrey JardinMartin OtterNguyen ThuyAndrea Tundis,2021,https://link.springer.com/article/10.1007/s00766-021-00359-z,Article
"A Model-Based Approach to the Design, Verification and Deployment of Railway Interlocking System","Leveraging Applications of Formal Methods, Verification and Validation: Applications",,,,10.1007/978-3-030-61467-6_16,Arturo AmendolaAnna BecchiRoberto CavadaAlessandro CimattiAlberto GriggioGiuseppe ScaglioneAngelo SusiAlberto TacchellaMatteo Tessi,2020,https://link.springer.com/chapter/10.1007/978-3-030-61467-6_16,Conference paper
An Abstract Contract Theory for Programs with Procedures,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-71500-7_8,Christian LidströmDilian Gurov,2021,https://link.springer.com/chapter/10.1007/978-3-030-71500-7_8,Conference paper
"Practitioners’ best practices to Adopt, Use or Abandon Model-based Testing with Graphical models for Software-intensive Systems",Empirical Software Engineering,,,,10.1007/s10664-022-10145-2,Emil AlégrothKristian KarlHelena RosshagenTomas HelmfridssonNils Olsson,2022,https://link.springer.com/article/10.1007/s10664-022-10145-2,Article
Efficient Analysis of Cyclic Redundancy Architectures via Boolean Fault Propagation,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-030-99527-0_15,Marco BozzanoAlessandro CimattiAlberto GriggioMartin Jonáš,2022,https://link.springer.com/chapter/10.1007/978-3-030-99527-0_15,Conference paper
QPR Verify: A Static Analysis Tool for&#xa0;Embedded Software Based on Bounded Model Checking,Software Verification,,,,10.1007/978-3-030-63618-0_2,Marko Kleine BüningCarsten SinzDavid Faragó,2020,https://link.springer.com/chapter/10.1007/978-3-030-63618-0_2,Conference paper
"A Functional Verification Methodology for Highly Parametrizable, Continuously Operating Safety-Critical FPGA Designs: Applied to the CERN RadiatiOn Monitoring Electronics (CROME)","Computer Safety, Reliability, and Security",,,,10.1007/978-3-030-54549-9_5,Katharina Ceesay-SeitzHamza BoukabacheDaniel Perrin,2020,https://link.springer.com/chapter/10.1007/978-3-030-54549-9_5,Conference paper
Leveraging Event-B Theories for Handling Domain Knowledge in Design Models,"Dependable Software Engineering. Theories, Tools, and Applications",,,,10.1007/978-3-030-91265-9_3,Ismail MendilYamine Aït-AmeurNeeraj Kumar SinghDominique MéryPhilippe Palanque,2021,https://link.springer.com/chapter/10.1007/978-3-030-91265-9_3,Conference paper
Formal Analysis of AI-Based Autonomy: From Modeling to Runtime Assurance,Runtime Verification,,,,10.1007/978-3-030-88494-9_19,Hazem TorfahSebastian JungesDaniel J. FremontSanjit A. Seshia,2021,https://link.springer.com/chapter/10.1007/978-3-030-88494-9_19,Conference paper
Verification and abstraction of real-time variability-intensive systems,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-019-00537-z,Maxime CordyAxel Legay,2019,https://link.springer.com/article/10.1007/s10009-019-00537-z,Article
A Survey on&#xa0;Applications of&#xa0;Formal Methods in&#xa0;Analysis of&#xa0;SCADA Systems,Critical Information Infrastructures Security,,,,10.1007/978-3-030-93200-8_6,Mihael MarovićAnte DerekStjepan Groš,2021,https://link.springer.com/chapter/10.1007/978-3-030-93200-8_6,Conference paper
An SMT-Based Approach for Verifying Binarized Neural Networks,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-030-72013-1_11,Guy AmirHaoze WuClark BarrettGuy Katz,2021,https://link.springer.com/chapter/10.1007/978-3-030-72013-1_11,Conference paper
Randomized Reachability Analysis in Uppaal: Fast Error Detection in Timed Systems,Formal Methods for Industrial Critical Systems,,,,10.1007/978-3-030-85248-1_9,Andrej KivirigaKim Guldstrand LarsenUlrik Nyman,2021,https://link.springer.com/chapter/10.1007/978-3-030-85248-1_9,Conference paper
A Survey of Papers from Formal Methods for Interactive Systems (FMIS) Workshops,Formal Methods. FM 2019 International Workshops,,,,10.1007/978-3-030-54994-7_33,Pascal BégerSebastien LericheDaniel Prun,2020,https://link.springer.com/chapter/10.1007/978-3-030-54994-7_33,Conference paper
An Event-B formal model for a system reconfiguration pattern and its instantiation: application to Web services compensation,Service Oriented Computing and Applications,,,,10.1007/s11761-021-00314-4,Yamine Ait-AmeurGuillaume BabinMarc Pantel,2021,https://link.springer.com/article/10.1007/s11761-021-00314-4,Article
A Family of Domain-Specific Languages for Integrated Modular Avionics,Quality of Information and Communications Technology,,,,10.1007/978-3-030-29238-6_17,Ricardo AlvesVasco AmaralJoão CintraBruno Tavares,2019,https://link.springer.com/chapter/10.1007/978-3-030-29238-6_17,Conference paper
AequeVox: Automated Fairness Testing of Speech Recognition Systems,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-99429-7_14,Sai Sathiesh RajanSakshi UdeshiSudipta Chattopadhyay,2022,https://link.springer.com/chapter/10.1007/978-3-030-99429-7_14,Conference paper
Hierarchical Contract-Based Synthesis for&#xa0;Assurance Cases,NASA Formal Methods,,,,10.1007/978-3-031-06773-0_9,Timothy E. WangZamira DawPierluigi NuzzoAlessandro Pinto,2022,https://link.springer.com/chapter/10.1007/978-3-031-06773-0_9,Conference paper
Improving timing analysis effectiveness for scenario-based specifications by combining SAT and LP techniques,Software and Systems Modeling,,,,10.1007/s10270-022-00980-8,Longlong LuMinxue PanTian ZhangXuandong Li,2022,https://link.springer.com/article/10.1007/s10270-022-00980-8,Article
Teaching Deductive Verification Through Frama-C and SPARK for Non Computer Scientists,Formal Methods Teaching,,,,10.1007/978-3-030-32441-4_2,Léo CreuseClaire DrossChristophe GarionJérôme HuguesJoffrey Huguet,2019,https://link.springer.com/chapter/10.1007/978-3-030-32441-4_2,Conference paper
Towards Zero Alarms in Sound Static Analysis of Finite State Machines,"Computer Safety, Reliability, and Security",,,,10.1007/978-3-030-26601-1_1,Josselin GietLaurent MauborgneDaniel KästnerChristian Ferdinand,2019,https://link.springer.com/chapter/10.1007/978-3-030-26601-1_1,Conference paper
Adapting to Different Types of Target Audience in Teaching Formal Methods,Formal Methods – Fun for Everybody,,,,10.1007/978-3-030-71374-4_5,Antonio CeroneKarl Reiner Lermer,2021,https://link.springer.com/chapter/10.1007/978-3-030-71374-4_5,Conference paper
Assurance Provenance: The Next Challenge in&#xa0;Software Documentation,"Leveraging Applications of Formal Methods, Verification and Validation. Software Engineering",,,,10.1007/978-3-031-19756-7_6,Gabor KarsaiDaniel Balasubramanian,2022,https://link.springer.com/chapter/10.1007/978-3-031-19756-7_6,Conference paper
